gene_id	baseMean	LFC_MLE	lfcSE	stat	pvalue	padj	LFC_apeglm	is_transgene	direction
YEL070W	41387.4077465174	6.65330183280577	0.109393024111567	60.8201655164066	0	0	6.65042259786222	FALSE	up_in_cellobiose
YMR175W	20714.1189717301	6.57283824334462	0.107837254800275	60.9514611209099	0	0	6.56952447132683	FALSE	up_in_cellobiose
YGR144W	108450.515097705	-5.89253018655432	0.101045327992182	-58.3157114103312	0	0	-5.88601817929716	FALSE	down_in_cellobiose
YDR345C	51010.0799246191	-5.31998430893421	0.0660350608663218	-80.5630257493626	0	0	-5.31654842386849	FALSE	down_in_cellobiose
YJR010W	31664.6654263074	-5.19396008908457	0.100293061281122	-51.7878308104073	0	0	-5.18898673338939	FALSE	down_in_cellobiose
YLR134W	18630.8219822093	-5.19390229391187	0.0806715674885162	-64.3833069767888	0	0	-5.19128608844427	FALSE	down_in_cellobiose
YPL223C	12069.9277618998	5.12813855378893	0.118854473843273	43.146365365692	0	0	5.12399215598967	FALSE	up_in_cellobiose
YNR073C	15588.792167852	4.86243187255895	0.069811568406447	69.6508040651599	0	0	4.86084974752861	FALSE	up_in_cellobiose
YHR094C	8426.20565566246	-4.83607872760442	0.082225029197294	-58.815165829866	0	0	-4.83359706929236	FALSE	down_in_cellobiose
YFR053C	192975.187793282	4.74842085688539	0.0712373057161397	66.6563791141469	0	0	4.73952472872089	FALSE	up_in_cellobiose
YKR097W	10791.8804288613	4.62616189448558	0.0605802244745064	76.3642250357191	0	0	4.62463360242366	FALSE	up_in_cellobiose
YKL001C	16063.930763014	-4.41348735670832	0.105824082989506	-41.7058880363365	0	0	-4.40801558750056	FALSE	down_in_cellobiose
YHR033W	15965.2048849768	4.38655381045433	0.0766846307663467	57.202515896828	0	0	4.38394021773421	FALSE	up_in_cellobiose
YBR050C	2262.7021444095	4.23366711173408	0.0784821715105046	53.9443166549923	0	0	4.23093540116143	FALSE	up_in_cellobiose
YGR292W	2452.85267821364	4.11229002671217	0.0761430757509139	54.0074062698053	0	0	4.10956564986229	FALSE	up_in_cellobiose
YDR343C	123696.375236629	4.07912313732319	0.0853067897523264	47.8170981368097	0	0	4.08096170841463	FALSE	up_in_cellobiose
YLR092W	19790.4630728428	-4.04309105168133	0.0912375837484214	-44.3138768649304	0	0	-4.03847753135621	FALSE	down_in_cellobiose
YDR119W-A	2310.49230758581	4.00093968498537	0.0818138329766077	48.9029732432818	0	0	3.99778592984968	FALSE	up_in_cellobiose
YJR137C	30407.433737385	-3.9883968250791	0.079468858430215	-50.1881731267284	0	0	-3.98506505808765	FALSE	down_in_cellobiose
YLR327C	14984.9415397619	3.97010595953003	0.0980873831869474	40.4751949795958	0	0	3.96584010937584	FALSE	up_in_cellobiose
YFR030W	29965.304582035	-3.85139348157921	0.0757401381359625	-50.850098459888	0	0	-3.8466993740692	FALSE	down_in_cellobiose
YLR004C	21640.0560871765	-3.80105120148273	0.095259338165484	-39.9021374143872	0	0	-3.79601248426611	FALSE	down_in_cellobiose
