ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	comparison
respiratory chain complex [GO:0098803]	respiratory chain complex [GO:0098803]	36/316	41/5915	0.878048780487805	16.4356282803334	23.5601600448838	1.30661905004874e-41	2.57403952859603e-39	2.25563709692625e-39	YDR119W-A/YKL148C/YGL187C/YLL041C/YBR039W/YJR121W/YHR001W-A/YBL099W/YBL045C/YDR178W/YDR529C/YEL024W/YJL166W/YGL191W/YKL141W/YMR256C/YFR033C/YDL004W/YNL052W/YML081C-A/YDR298C/YDR377W/YPR191W/YPL271W/YLR038C/YKL016C/YLR395C/YHR051W/YLR295C/YPL078C/YOL077W-A/YOR065W/YDR322C-A/YGR183C/YPR020W/YDL067C	36	primary_UP_GOslim
generation of precursor metabolites and energy [GO:0006091]	generation of precursor metabolites and energy [GO:0006091]	50/316	145/5915	0.344827586206897	6.45460497599302	15.7975000908126	1.64512507088062e-28	1.62044819481741e-26	1.42000269276012e-26	YFR053C/YKL148C/YOR178C/YGL187C/YLL041C/YHR001W-A/YBL045C/YDR178W/YDR529C/YEL024W/YJL166W/YBL030C/YKL085W/YGL191W/YKL141W/YGR256W/YMR256C/YFR033C/YNL052W/YER054C/YCL040W/YPR191W/YPR184W/YML120C/YBR117C/YGR244C/YMR081C/YLR395C/YHR051W/YDL085W/YOR065W/YGR087C/YPL061W/YIL057C/YDR148C/YIL024C/YGR183C/YIL125W/YAL054C/YKL093W/YEL011W/YMR105C/YMR145C/YEL039C/YFR049W/YDL067C/YOR374W/YER067W/YJR048W/YJR120W	50	primary_UP_GOslim
cellular respiration [GO:0045333]	cellular respiration [GO:0045333]	32/316	76/5915	0.421052631578947	7.88141239173884	14.3431358344142	1.35058891684731e-21	8.86886722063066e-20	7.77180990747224e-20	YKL148C/YGL187C/YLL041C/YHR001W-A/YBL045C/YDR178W/YDR529C/YEL024W/YJL166W/YBL030C/YKL085W/YGL191W/YKL141W/YMR256C/YFR033C/YNL052W/YPR191W/YML120C/YGR244C/YMR081C/YLR395C/YHR051W/YOR065W/YDR148C/YGR183C/YIL125W/YKL093W/YEL039C/YFR049W/YDL067C/YJR048W/YJR120W	32	primary_UP_GOslim
mitochondrion [GO:0005739]	mitochondrion [GO:0005739]	120/316	1055/5915	0.113744075829384	2.1291019257304	9.61103615414502	2.07598157431459e-18	1.02242092534993e-16	8.95949942598927e-17	YFR053C/YDR343C/YDR119W-A/YKL148C/YHR008C/YNL144C/YIL136W/YJR077C/YKL217W/YGL187C/YLL041C/YBR039W/YIL155C/YJR121W/YAL062W/YHR001W-A/YMR118C/YBL099W/YBL045C/YNL195C/YDR178W/YDR529C/YEL024W/YDL222C/YAL039C/YDL048C/YJL166W/YBL030C/YKL085W/YDR070C/YGL191W/YKL141W/YPL134C/YMR256C/YFR033C/YGR236C/YDR077W/YDL004W/YPL036W/YNL052W/YML081C-A/YHL032C/YFL011W/YDR298C/YKL150W/YDR377W/YBL015W/YPR191W/YPR184W/YGR243W/YML120C/YGR244C/YGR174C/YPL271W/YLR038C/YKL016C/YLR395C/YHR051W/YLR295C/YPL078C/YOL077W-A/YDL085W/YOR065W/YMR110C/YDL174C/YPL061W/YML091C/YBL064C/YDL181W/YOR215C/YDL130W-A/YDR148C/YDR322C-A/YGR183C/YFL036W/YIL125W/YCR079W/YAL054C/YML128C/YJL102W/YDR155C/YBR203W/YCR083W/YJL062W-A/YBR230C/YBR072W/YNL135C/YPR020W/YMR145C/YER182W/YCL057C-A/YEL039C/YLR069C/YKR016W/YDR150W/YOL109W/YFR049W/YJL133C-A/YNL185C/YIR038C/YKR049C/YKL067W/YOR356W/YML009C/YDL067C/YNR002C/YDR342C/YEL034W/YBR269C/YNL318C/YOR374W/YIL162W/YLR154W-C/YLR106C/YMR252C/YHR116W/YNL112W/YGR159C/YPR061C/YJR048W	120	primary_UP_GOslim
proton-transporting ATP synthase complex [GO:0045259]	proton-transporting ATP synthase complex [GO:0045259]	14/316	15/5915	0.933333333333333	17.4704641350211	15.172405075474	1.67066120179882e-17	6.58240513508735e-16	5.76817762305277e-16	YBR039W/YJR121W/YBL099W/YDL004W/YML081C-A/YDR298C/YDR377W/YPL271W/YKL016C/YLR295C/YPL078C/YOL077W-A/YDR322C-A/YPR020W	14	primary_UP_GOslim
oxidoreductase activity [GO:0016491]	oxidoreductase activity [GO:0016491]	52/316	285/5915	0.182456140350877	3.41527870308683	9.92806134968141	8.82526828861204e-16	2.89762975476095e-14	2.53919999882873e-14	YEL070W/YNR073C/YKL148C/YHR008C/YGL187C/YLL041C/YIL155C/YAL062W/YHR001W-A/YBL045C/YDR178W/YDR529C/YEL024W/YJL166W/YKL085W/YGL191W/YKL141W/YGR256W/YMR256C/YFR033C/YNL052W/YKL150W/YPR191W/YGR088W/YML120C/YLR038C/YLR395C/YHR051W/YDL085W/YOR065W/YMR110C/YDL174C/YPL061W/YJL026W/YPL171C/YPR037C/YDR148C/YKL026C/YGR183C/YIL125W/YCR083W/YJR159W/YMR145C/YDL246C/YFR049W/YJR070C/YIR038C/YDL067C/YKL107W/YOR374W/YLR070C/YMR015C	52	primary_UP_GOslim
transmembrane transporter activity [GO:0022857]	transmembrane transporter activity [GO:0022857]	54/316	334/5915	0.161676646706587	3.02632077616918	9.05637479076273	4.87422345786067e-14	1.37174574456936e-12	1.20206413096113e-12	YDR343C/YJR077C/YKL217W/YHR096C/YGL187C/YBR039W/YEL069C/YJR121W/YHR001W-A/YBL099W/YBL045C/YDR529C/YEL024W/YDR536W/YJL166W/YBL030C/YGL191W/YPL134C/YMR256C/YFR033C/YDL004W/YPL036W/YNL052W/YML081C-A/YFL011W/YDR298C/YBR298C/YDR377W/YPR191W/YGR243W/YPL271W/YLR038C/YKL016C/YLR395C/YHR051W/YBR021W/YLR295C/YPL078C/YOL077W-A/YOR065W/YDR322C-A/YGR183C/YPR020W/YNR072W/YBL042C/YLL026W/YBR296C/YDL067C/YNR002C/YDR342C/YPL147W/YNL318C/YOR348C/YPR192W	54	primary_UP_GOslim
respiratory chain complex III [GO:0045275]	respiratory chain complex III [GO:0045275]	9/316	9/5915	1	18.7183544303797	12.6365024510058	3.17913692692174e-12	7.82862468254479e-11	6.86024284230481e-11	YHR001W-A/YBL045C/YDR529C/YEL024W/YJL166W/YFR033C/YPR191W/YOR065W/YGR183C	9	primary_UP_GOslim
respiratory chain complex IV [GO:0045277]	respiratory chain complex IV [GO:0045277]	9/316	10/5915	0.9	16.8465189873418	11.91387096318	3.03040757830873e-11	6.63322547696466e-10	5.81271161219452e-10	YDR119W-A/YGL187C/YGL191W/YMR256C/YNL052W/YLR038C/YLR395C/YHR051W/YDL067C	9	primary_UP_GOslim
carbohydrate metabolic process [GO:0005975]	carbohydrate metabolic process [GO:0005975]	29/316	149/5915	0.194630872483221	3.64316965423498	7.76264673224354	6.84947478261387e-10	1.34934653217493e-08	1.18243564668281e-08	YFR053C/YKR097W/YGR292W/YDL049C/YOR178C/YIL155C/YHL032C/YER054C/YCL040W/YDR516C/YPR184W/YGR087C/YPL061W/YIL024C/YJR159W/YBR299W/YEL011W/YMR105C/YDL246C/YPL201C/YLL026W/YHR043C/YOL157C/YOR374W/YIL162W/YLR070C/YNL117W/YFL053W/YLR308W	29	primary_UP_GOslim
